1968,GOLD AM,,GOLD PM,,SILVER,
 Dec Avg,43.4464,17.2343,43.477,17.2491,138.415,54.8762
1971 High,43.9,17.901,43.975,18.162,175.4,72.6
1971 Low,37.325,15.5917,37.39,15.6042,127.2,51
1971 Average,40.7955,16.6715,40.8103,16.6745,153.7,63.0056



1972,GOLD AM,,GOLD PM,,SILVER,
,$,£,$,£,¢,p
Jan High,47,18.143,47.35,18.272,152.1,58.7
Jan Low,43.725,17.122,44,17.239,137.4,53.8
Jan Avg,45.6402,17.7537,45.751,17.796,146.281,56.9095
Feb High,48.7,18.683,49.25,18.891,154.8,59.4
Feb Low,47.45,18.244,47,18.073,146.8,56.3
Feb Avg,48.2367,18.5289,48.2633,18.538,150.5238,57.8143
Mar High,48.47,18.571,48.46,18.552,156.3,59.7
Mar Low,47.8,18.234,48.025,18.305,147.5,56.6
Mar Avg,48.2884,18.4414,48.3273,18.453,152.85,58.3705
Apr High,49.5,18.97,49.6,18.994,159.8,61.1
Apr Low,48.3,18.497,48.29,18.491,154.2,59.1
Apr Avg,49.0261,18.7834,49.0303,18.7837,156.6842,60.0316
May High,59.3,22.687,59.45,22.745,160.4,61.4
May Low,50.2,19.224,50.35,19.282,155,59.3
May Avg,54.5,20.86,54.6182,20.9048,158.2818,60.5909
June High,66.75,26.394,64.85,26.458,159,63.9
June Low,58.8,22.511,59.225,22.667,153.7,58.85
June Avg,62.1705,24.071,62.092,24.0732,156.81,61.0591
July High,68.9,28.117,68.3,27.872,183.9,75.1
July Low,64.25,26.348,64.85,26.412,155.5,63.8
July Avg,65.5583,26.8343,65.6655,26.864,171.8095,70.281
Aug High,70,28.578,70,28.578,190.8,77.9
Aug Low,64.75,26.407,65.15,26.544,178.9,72.9
Aug Avg,66.917,27.3078,67.0341,27.3528,183.7273,74.9818
Sept High,67.2,27.473,67.25,27.488,191.2,78.1
Sept Low,63.4,26.057,61.25,25.028,168.7,69
Sept Avg,65.5893,26.852,65.4655,26.8052,178.0905,72.919
Oct High,65.7,27.662,65.6,27.668,185.3,77.8
Oct Low,64.1,26.442,64.1,26.449,174.1,71.9
Oct Avg,64.8236,27.0443,64.8643,27.0701,180.0136,75.1386
Nov High,64.125,27.334,64.15,27.35,185.7,78.9
Nov Low,60.1,25.589,60.35,25.679,178.9,76.2
Nov Avg,62.7257,26.6752,62.912,26.751,182.2636,77.5364
Dec High,65.4,27.88,65.4,27.911,203.1,86.6
Dec Low,62.75,26.827,62.9,26.862,186.8,79.6
 Dec Avg,63.7789,27.1942,63.9092,27.252,195.0947,83.2079
1972 High,70,28.578,70,28.578,203.1,86.6
